name,hex,hue,lightness,saturation,family
bubblegum pink,#fe83cc,324.39,0.755,0.984,magenta
barbie pink,#fe46a5,329.02,0.635,0.989,magenta
military green,#667c3e,81.29,0.365,0.333,yellow
pale teal,#82cbb2,159.45,0.653,0.412,teal
bronze,#a87900,43.21,0.329,1.0,orange
pinky red,#fc2647,350.75,0.569,0.973,rose
dull red,#bb3f3f,0.0,0.49,0.496,red
darkish blue,#014182,210.23,0.257,0.985,azure
bluish,#2976bb,208.36,0.447,0.64,cyan
dark gold,#b59410,48.0,0.386,0.838,orange
yellowy green,#bff128,74.93,0.551,0.878,yellow
pine,#2b5d34,130.8,0.267,0.368,green
dark blue green,#005249,173.41,0.161,1.0,teal
dirty pink,#ca7b80,356.2,0.637,0.427,rose
slate green,#658d6d,132.0,0.475,0.165,green
prussian blue,#004577,205.21,0.233,1.0,cyan
bright violet,#ad0afd,280.25,0.516,0.984,violet
lighter purple,#a55af4,269.22,0.655,0.875,blue
steel grey,#6f828a,197.78,0.488,0.108,grey
russet,#a13905,20.0,0.325,0.94,red
vermillion,#f4320c,9.83,0.502,0.913,red
greyish brown,#7a6a4f,37.67,0.394,0.214,orange
red purple,#820747,328.78,0.269,0.898,magenta
red pink,#fa2a55,347.6,0.573,0.954,rose
bright turquoise,#0ffef9,178.74,0.527,0.992,teal
golden brown,#b27a01,41.02,0.351,0.989,orange
cerulean blue,#056eee,212.96,0.476,0.959,azure
soft blue,#6488ea,223.88,0.655,0.761,azure
easter green,#8cfd7e,113.39,0.743,0.969,chartreuse
amber,#feb308,41.71,0.514,0.992,orange
mid blue,#276ab3,211.29,0.427,0.642,azure
shit brown,#7b5804,42.35,0.249,0.937,orange
hospital green,#9be5aa,132.16,0.753,0.587,green
purpleish blue,#6140ef,251.31,0.594,0.845,blue
purply blue,#661aee,261.51,0.518,0.862,blue
silver,#c5c9c7,150.0,0.78,0.036,grey
sickly green,#94b21c,72.0,0.404,0.728,yellow
melon,#ff7855,12.35,0.667,1.0,red
dusky rose,#ba6873,351.95,0.569,0.373,rose
brown orange,#b96902,33.77,0.367,0.979,orange
darkish green,#287c37,130.71,0.322,0.512,green
cranberry,#9e003a,337.97,0.31,1.0,rose
purpleish,#98568d,310.0,0.467,0.277,magenta
ecru,#feffca,61.13,0.896,1.0,yellow
darker purple,#5f1b6b,291.0,0.263,0.597,violet
mocha,#9d7651,29.21,0.467,0.319,red
bright magenta,#ff08e8,305.59,0.516,1.0,magenta
coffee,#a6814c,35.33,0.475,0.372,orange
sepia,#985e2b,28.07,0.382,0.559,red
faded red,#d3494e,357.83,0.557,0.611,rose
canary yellow,#fffe40,59.69,0.625,1.0,orange
bluey purple,#6241c7,254.78,0.518,0.545,blue
pastel yellow,#fffe71,59.58,0.722,1.0,orange
pale turquoise,#a5fbd5,153.49,0.816,0.915,teal
greyish pink,#c88d94,352.88,0.669,0.349,rose
marine,#042e60,212.61,0.196,0.92,azure
purplish grey,#7a687f,286.96,0.453,0.1,grey
camel,#c69f59,38.53,0.563,0.489,orange
brownish grey,#86775f,36.92,0.449,0.17,orange
burnt yellow,#d5ab09,47.65,0.435,0.919,orange
cherry red,#f7022a,350.2,0.488,0.984,rose
orangey brown,#b16002,32.23,0.351,0.978,orange
soft pink,#fdb0c0,347.53,0.841,0.951,rose
dark sea green,#11875d,158.64,0.298,0.776,teal
aqua marine,#2ee8bb,165.48,0.545,0.802,teal
robin egg blue,#8af1fe,186.72,0.769,0.983,cyan
light sea green,#98f6b0,135.32,0.78,0.839,green
mud brown,#60460f,40.74,0.218,0.73,orange
sandstone,#c9ae74,40.94,0.622,0.44,orange
british racing green,#05480d,127.16,0.151,0.87,green
faded pink,#de9dac,346.15,0.743,0.496,rose
maize,#f4d054,46.5,0.643,0.879,orange
ocre,#c69c04,47.01,0.396,0.96,orange
orange yellow,#ffad01,40.63,0.502,1.0,orange
dark khaki,#9b8f55,49.71,0.471,0.292,orange
light lime,#aefd6c,92.69,0.708,0.973,chartreuse
bright light blue,#26f7fd,181.67,0.571,0.982,cyan
jade green,#2baf6a,148.64,0.427,0.606,green
barney,#ac1db8,295.35,0.418,0.728,violet
adobe,#bd6c48,18.46,0.512,0.47,red
minty green,#0bf77d,148.98,0.506,0.937,green
light navy blue,#2e5a88,210.67,0.357,0.495,azure
dusty green,#76a973,116.67,0.557,0.239,chartreuse
very dark blue,#000133,238.82,0.1,1.0,azure
ocean green,#3d9973,155.22,0.42,0.43,teal
mustard green,#a8b504,64.41,0.363,0.957,yellow
poop brown,#7a5901,43.64,0.241,0.984,orange
olive brown,#645403,50.1,0.202,0.942,orange
pink red,#f5054f,341.5,0.49,0.96,rose
light navy,#155084,208.11,0.3,0.725,cyan
very light purple,#f6cefc,292.17,0.898,0.885,violet
ivory,#ffffcb,60.0,0.898,1.0,yellow
bright lavender,#c760ff,278.87,0.688,1.0,violet
bright aqua,#0bf9ea,176.22,0.51,0.952,teal
robin's egg,#6dedfd,186.67,0.71,0.973,cyan
muted green,#5fa052,110.0,0.475,0.322,chartreuse
medium brown,#7f5112,34.68,0.284,0.752,orange
copper,#b66325,25.66,0.429,0.662,red
dark lime,#84b701,76.81,0.361,0.989,yellow
strawberry,#fb2943,352.57,0.573,0.963,rose
dirt brown,#836539,35.68,0.369,0.394,orange
celery,#c1fd95,94.62,0.788,0.963,chartreuse
bright sky blue,#02ccfe,191.9,0.502,0.992,cyan
poo brown,#885f01,41.78,0.269,0.985,orange
pinkish brown,#b17261,12.75,0.537,0.339,red
celadon,#befdb7,114.0,0.855,0.946,chartreuse
bright lime green,#65fe08,97.32,0.514,0.992,chartreuse
auburn,#9a3001,18.43,0.304,0.987,red
shocking pink,#fe02a2,321.9,0.502,0.992,magenta
mulberry,#920a4e,330.0,0.306,0.872,rose
carolina blue,#8ab8fe,216.21,0.769,0.983,azure
lightish green,#61e160,119.53,0.629,0.683,chartreuse
light lilac,#edc8ff,280.36,0.892,1.0,violet
pale olive,#b9cc81,75.2,0.653,0.424,yellow
pumpkin orange,#fb7d07,29.02,0.506,0.968,red
yellow ochre,#cb9d06,45.99,0.41,0.943,orange
fire engine red,#fe0002,359.53,0.498,1.0,rose
deep sky blue,#0d75f8,213.45,0.512,0.944,azure
watermelon,#fd4659,353.77,0.633,0.979,rose
bottle green,#044a05,120.86,0.153,0.897,green
very dark purple,#2a0134,288.24,0.104,0.962,violet
wheat,#fbdd7e,45.6,0.739,0.94,orange
murky green,#6c7a0e,67.78,0.267,0.794,yellow
brownish purple,#76424e,346.15,0.361,0.283,rose
kermit green,#5cb200,88.99,0.349,1.0,yellow
primary blue,#0804f9,240.98,0.496,0.968,blue
orangey red,#fa4224,8.41,0.561,0.955,red
pale lilac,#e4cbff,268.85,0.898,1.0,blue
rust red,#aa2704,12.65,0.341,0.954,red
dirty orange,#c87606,34.64,0.404,0.942,orange
pinkish grey,#c8aca9,5.81,0.724,0.22,red
light plum,#9d5783,322.29,0.478,0.287,magenta
greeny blue,#42b395,164.07,0.48,0.461,teal
dark navy,#000435,235.47,0.104,1.0,azure
pink/purple,#ef1de7,302.29,0.525,0.868,magenta
irish green,#019529,136.22,0.294,0.987,green
baby poop,#937c00,50.61,0.288,1.0,orange
slime green,#99cc04,75.3,0.408,0.962,yellow
purplish red,#b0054b,335.44,0.355,0.945,rose
rouge,#ab1239,344.71,0.371,0.81,rose
light rose,#ffc5cb,353.79,0.886,1.0,rose
drab,#828344,60.95,0.39,0.317,yellow
dark navy blue,#00022e,237.39,0.09,1.0,azure
light yellow green,#ccfd7f,83.33,0.745,0.969,yellow
easter purple,#c071fe,273.62,0.72,0.986,violet
snot,#acbb0d,65.17,0.392,0.87,yellow
light salmon,#fea993,12.34,0.786,0.982,red
purpley pink,#c83cb9,306.43,0.51,0.56,magenta
poo,#8f7303,48.0,0.286,0.959,orange
berry,#990f4b,333.91,0.329,0.821,rose
medium grey,#7d7f7c,100.0,0.492,0.012,grey
brown red,#922b05,16.17,0.296,0.934,red
blood,#770001,359.5,0.233,1.0,rose
soft purple,#a66fb5,287.14,0.573,0.321,violet
grey pink,#c3909b,347.06,0.665,0.298,rose
bluey green,#2bb179,154.93,0.431,0.609,teal
midnight,#03012d,242.73,0.09,0.957,blue
dark indigo,#1f0954,257.6,0.182,0.806,blue
warm grey,#978a84,18.95,0.555,0.084,grey
sandy brown,#c4a661,41.82,0.575,0.456,orange
cherry,#cf0234,345.37,0.41,0.981,rose
blue/purple,#5a06ef,261.63,0.48,0.951,blue
gunmetal,#536267,195.0,0.365,0.108,grey
deep violet,#490648,300.9,0.155,0.848,magenta
tree green,#2a7e19,109.9,0.296,0.669,chartreuse
orangish brown,#b25f03,31.54,0.355,0.967,orange
shamrock green,#02c14d,143.56,0.382,0.979,green
orangish red,#f43605,12.3,0.488,0.96,red
greeny yellow,#c6f808,72.5,0.502,0.945,yellow
ugly yellow,#d0c101,55.65,0.41,0.99,orange
french blue,#436bad,217.36,0.471,0.442,azure
dusky purple,#895b7b,318.26,0.447,0.202,magenta
butter yellow,#fffd74,59.14,0.727,1.0,orange
light beige,#fffeb6,59.18,0.857,1.0,orange
golden,#f5bf03,46.61,0.486,0.976,orange
